"age","education","occupation","sex","native-country","class (income)"
49,"HS-grad","Adm-clerical","Female","United-States","<=50K"
25,"HS-grad","Handlers-cleaners","Male","United-States","<=50K"
57,"Bachelors","Prof-specialty","Male","United-States",">50K"
53,"HS-grad","Machine-op-inspct","Male","United-States","<=50K"
44,"Masters","Exec-managerial","Female","United-States","<=50K"
41,"Assoc-voc","Craft-repair","Male","United-States","<=50K"
29,"Assoc-voc","Prof-specialty","Male","United-States","<=50K"
25,"Some-college","Exec-managerial","Female","United-States","<=50K"
47,"Prof-school","Prof-specialty","Female","Honduras",">50K"
50,"Bachelors","Exec-managerial","Male","United-States",">50K"
47,"HS-grad","Exec-managerial","Male","United-States","<=50K"
43,"Some-college","Tech-support","Male","United-States",">50K"
46,"5th-6th","Machine-op-inspct","Male","Mexico","<=50K"
35,"Assoc-voc","Other-service","Male","Puerto-Rico","<=50K"
41,"HS-grad","Adm-clerical","Male","United-States","<=50K"
30,"HS-grad","Machine-op-inspct","Male","United-States","<=50K"
30,"Bachelors","Sales","Male","United-States","<=50K"
48,"HS-grad","Transport-moving","Male","United-States","<=50K"
42,"Doctorate","Prof-specialty","Male","United-States",">50K"
29,"Some-college","Tech-support","Male","United-States","<=50K"
36,"HS-grad","Craft-repair","Male","United-States","<=50K"
28,"Some-college","Adm-clerical","Female","United-States","<=50K"
53,"HS-grad","Adm-clerical","Female","United-States",">50K"
49,"Some-college","Exec-managerial","Male","United-States",">50K"
19,"Some-college","Prof-specialty","Male","United-States","<=50K"
31,"Bachelors","Sales","Female","United-States","<=50K"
29,"Bachelors","Sales","Male","United-States",">50K"
23,"Some-college","Machine-op-inspct","Male","United-States","<=50K"
79,"Some-college","Prof-specialty","Male","United-States","<=50K"
27,"HS-grad","Other-service","Male","Mexico","<=50K"
40,"Assoc-acdm","Adm-clerical","Male","United-States","<=50K"
18,"11th","Other-service","Female","United-States","<=50K"
31,"7th-8th","Farming-fishing","Male","United-States","<=50K"
18,"HS-grad","Sales","Male","United-States","<=50K"
52,"Bachelors","Other-service","Male","Cuba","<=50K"
46,"HS-grad","Other-service","Female","United-States","<=50K"
59,"HS-grad","Sales","Male","United-States","<=50K"
44,"HS-grad","Craft-repair","Female","United-States",">50K"
53,"HS-grad","Sales","Female","United-States","<=50K"
49,"HS-grad","Protective-serv","Male","United-States",">50K"
33,"Masters","Prof-specialty","Male","United-States","<=50K"
30,"9th","Sales","Male","United-States","<=50K"
43,"Doctorate","Prof-specialty","Female","United-States",">50K"
57,"Assoc-voc","Prof-specialty","Male","United-States","<=50K"
37,"Some-college","Craft-repair","Female","United-States","<=50K"
28,"Some-college","Machine-op-inspct","Female","United-States","<=50K"
34,"Bachelors","Protective-serv","Male","United-States",">50K"
29,"Some-college","Handlers-cleaners","Male","United-States","<=50K"
48,"Doctorate","Prof-specialty","Male","United-States",">50K"
37,"Some-college","Sales","Male","United-States",">50K"
48,"Assoc-acdm","Exec-managerial","Female","England","<=50K"
32,"HS-grad","Other-service","Male","United-States","<=50K"
76,"Masters","Exec-managerial","Male","United-States",">50K"
44,"Bachelors","Exec-managerial","Male","United-States",">50K"
47,"Masters","Prof-specialty","Female","United-States","<=50K"
20,"Some-college","Tech-support","Female","United-States","<=50K"
29,"HS-grad","Craft-repair","Male","United-States","<=50K"
32,"HS-grad","Craft-repair","Male","United-States",">50K"
30,"11th","Handlers-cleaners","Male","United-States","<=50K"
31,"HS-grad","Adm-clerical","Female","United-States","<=50K"
42,"HS-grad","Handlers-cleaners","Male","United-States","<=50K"
24,"Bachelors","Sales","Male","United-States","<=50K"
38,"Prof-school","Prof-specialty","Male","United-States",">50K"
56,"HS-grad","Other-service","Male","Canada",">50K"
28,"Some-college","Sales","Female","United-States","<=50K"
36,"HS-grad","Machine-op-inspct","Female","United-States","<=50K"
53,"9th","Handlers-cleaners","Male","United-States","<=50K"
56,"Some-college","Sales","Male","United-States","<=50K"
49,"Assoc-voc","Craft-repair","Male","United-States",">50K"
55,"Some-college","Sales","Male","United-States","<=50K"
22,"HS-grad","Craft-repair","Male","United-States","<=50K"
21,"Some-college","Other-service","Female","United-States","<=50K"
40,"Bachelors","Exec-managerial","Male","United-States","<=50K"
30,"Bachelors","Exec-managerial","Male","Germany","<=50K"
29,"Bachelors","Prof-specialty","Male","United-States",">50K"
19,"Some-college","Other-service","Male","United-States","<=50K"
47,"Bachelors","Exec-managerial","Female","United-States",">50K"
20,"Some-college","Adm-clerical","Female","United-States","<=50K"
31,"Assoc-acdm","Adm-clerical","Male","United-States",">50K"
39,"Some-college","Craft-repair","Male","United-States","<=50K"
28,"Assoc-acdm","Sales","Female","United-States","<=50K"
24,"HS-grad","Other-service","Female","United-States","<=50K"
38,"HS-grad","Craft-repair","Male","United-States","<=50K"
37,"Bachelors","Sales","Male","United-States","<=50K"
46,"Assoc-acdm","Tech-support","Female","United-States","<=50K"
38,"Masters","Prof-specialty","Male","Iran",">50K"
43,"HS-grad","Craft-repair","Male","United-States","<=50K"
27,"Assoc-voc","Adm-clerical","Female","United-States","<=50K"
20,"Some-college","Sales","Male","United-States","<=50K"
49,"Some-college","Craft-repair","Male","United-States",">50K"
61,"HS-grad","Craft-repair","Male","United-States","<=50K"
27,"Some-college","Sales","Female","United-States","<=50K"
19,"Some-college","Other-service","Male","Mexico","<=50K"
45,"Assoc-voc","Prof-specialty","Female","United-States",">50K"
70,"Some-college","Tech-support","Male","United-States","<=50K"
31,"HS-grad","Transport-moving","Female","United-States","<=50K"
22,"Some-college","Other-service","Male","United-States","<=50K"
36,"HS-grad","Other-service","Female","United-States","<=50K"
64,"11th","Craft-repair","Male","United-States","<=50K"
47,"Some-college","Adm-clerical","Female","Mexico","<=50K"
34,"HS-grad","Adm-clerical","Female","United-States","<=50K"
33,"Bachelors","Exec-managerial","Female","Philippines","<=50K"
21,"HS-grad","Craft-repair","Male","United-States","<=50K"
48,"HS-grad","Craft-repair","Male","United-States","<=50K"
23,"Bachelors","Handlers-cleaners","Male","United-States","<=50K"
71,"Some-college","Sales","Male","United-States","<=50K"
29,"HS-grad","Craft-repair","Male","United-States","<=50K"
42,"Bachelors","Other-service","Male","United-States","<=50K"
25,"HS-grad","Other-service","Female","United-States","<=50K"
44,"Masters","Exec-managerial","Female","United-States","<=50K"
28,"HS-grad","Exec-managerial","Female","England","<=50K"
45,"Masters","Sales","Male","United-States",">50K"
36,"Some-college","Other-service","Female","Mexico","<=50K"
39,"Assoc-acdm","Exec-managerial","Male","United-States","<=50K"
46,"Masters","Protective-serv","Male","United-States","<=50K"
18,"11th","Handlers-cleaners","Male","United-States","<=50K"
66,"Assoc-voc","Prof-specialty","Female","United-States","<=50K"
27,"HS-grad","Other-service","Male","United-States","<=50K"
28,"HS-grad","Protective-serv","Male","United-States","<=50K"
51,"Some-college","Sales","Male","United-States",">50K"
27,"Bachelors","Craft-repair","Male","United-States","<=50K"
28,"Bachelors","Prof-specialty","Male","United-States",">50K"
27,"HS-grad","Sales","Female","United-States","<=50K"
21,"HS-grad","Craft-repair","Male","United-States","<=50K"
34,"HS-grad","Handlers-cleaners","Male","United-States","<=50K"
18,"HS-grad","Other-service","Male","United-States","<=50K"
33,"Bachelors","Prof-specialty","Male","United-States","<=50K"
44,"Some-college","Exec-managerial","Male","United-States",">50K"
43,"Some-college","Adm-clerical","Female","United-States","<=50K"
30,"Some-college","Craft-repair","Male","United-States","<=50K"
40,"7th-8th","Machine-op-inspct","Male","Mexico",">50K"
37,"Some-college","Adm-clerical","Male","United-States",">50K"
34,"HS-grad","Adm-clerical","Male","United-States","<=50K"
41,"Bachelors","Exec-managerial","Female","United-States","<=50K"
31,"Masters","Prof-specialty","Female","United-States","<=50K"
58,"Doctorate","Prof-specialty","Male","United-States",">50K"
38,"Some-college","Machine-op-inspct","Female","United-States","<=50K"
24,"Some-college","Machine-op-inspct","Male","United-States","<=50K"
41,"Bachelors","Craft-repair","Male","United-States","<=50K"
47,"Some-college","Tech-support","Male","United-States","<=50K"
41,"Bachelors","Tech-support","Male","United-States","<=50K"
23,"5th-6th","Transport-moving","Male","Mexico","<=50K"
36,"Some-college","Craft-repair","Male","United-States","<=50K"
40,"Masters","Exec-managerial","Female","United-States",">50K"
35,"Masters","Prof-specialty","Male","United-States",">50K"
24,"HS-grad","Sales","Male","United-States","<=50K"
26,"Masters","Prof-specialty","Female","United-States","<=50K"
51,"Bachelors","Exec-managerial","Male","United-States",">50K"
42,"Some-college","Prof-specialty","Female","United-States","<=50K"
37,"HS-grad","Adm-clerical","Female","United-States","<=50K"
18,"11th","Sales","Female","United-States","<=50K"
36,"Bachelors","Other-service","Male","United-States",">50K"
35,"HS-grad","Craft-repair","Male","United-States","<=50K"
58,"HS-grad","Sales","Female","United-States",">50K"
17,"11th","Sales","Female","United-States","<=50K"
44,"HS-grad","Transport-moving","Male","United-States","<=50K"
37,"HS-grad","Craft-repair","Male","United-States",">50K"
35,"Some-college","Sales","Female","United-States","<=50K"
60,"HS-grad","Craft-repair","Male","United-States","<=50K"
54,"7th-8th","Machine-op-inspct","Male","United-States",">50K"
37,"Bachelors","Exec-managerial","Male","United-States",">50K"
50,"Assoc-acdm","Sales","Female","United-States","<=50K"
38,"Bachelors","Sales","Male","Poland","<=50K"
45,"Bachelors","Prof-specialty","Male","United-States","<=50K"
25,"10th","Craft-repair","Male","United-States","<=50K"
31,"Some-college","Handlers-cleaners","Male","United-States","<=50K"
90,"HS-grad","Other-service","Male","United-States","<=50K"
54,"HS-grad","Adm-clerical","Male","United-States","<=50K"
53,"Preschool","Machine-op-inspct","Female","United-States","<=50K"
18,"HS-grad","Sales","Female","United-States","<=50K"
66,"HS-grad","Farming-fishing","Male","United-States","<=50K"
75,"Assoc-voc","Adm-clerical","Female","Columbia","<=50K"
65,"HS-grad","Adm-clerical","Female","United-States","<=50K"
35,"11th","Transport-moving","Male","United-States","<=50K"
41,"HS-grad","Sales","Female","United-States","<=50K"
25,"Some-college","Adm-clerical","Male","United-States","<=50K"
33,"Some-college","Craft-repair","Female","United-States","<=50K"
28,"Prof-school","Prof-specialty","Male","United-States",">50K"
59,"HS-grad","Other-service","Male","United-States","<=50K"
40,"Some-college","Adm-clerical","Female","United-States","<=50K"
41,"Bachelors","Exec-managerial","Male","Iran",">50K"
38,"Masters","Exec-managerial","Male","United-States",">50K"
23,"HS-grad","Transport-moving","Male","United-States","<=50K"
40,"Bachelors","Prof-specialty","Male","United-States",">50K"
41,"HS-grad","Other-service","Female","United-States","<=50K"
24,"Assoc-acdm","Protective-serv","Male","United-States","<=50K"
38,"Some-college","Craft-repair","Male","United-States","<=50K"
58,"HS-grad","Adm-clerical","Male","United-States",">50K"
32,"HS-grad","Other-service","Female","United-States","<=50K"
40,"Assoc-acdm","Tech-support","Male","United-States",">50K"
41,"Prof-school","Prof-specialty","Female","United-States",">50K"
42,"Bachelors","Adm-clerical","Female","United-States","<=50K"
59,"10th","Other-service","Female","United-States","<=50K"
19,"Some-college","Adm-clerical","Male","United-States","<=50K"
58,"Some-college","Transport-moving","Male","United-States","<=50K"
42,"HS-grad","Farming-fishing","Male","Cambodia",">50K"
20,"HS-grad","Other-service","Female","United-States","<=50K"
32,"HS-grad","Other-service","Female","United-States","<=50K"
45,"Assoc-voc","Exec-managerial","Female","United-States","<=50K"
50,"7th-8th","Craft-repair","Male","United-States","<=50K"
36,"Bachelors","Prof-specialty","Female","United-States","<=50K"
45,"HS-grad","Sales","Male","United-States","<=50K"
17,"11th","Other-service","Male","United-States","<=50K"
59,"Some-college","Sales","Male","United-States","<=50K"
26,"11th","Craft-repair","Male","United-States","<=50K"
37,"Some-college","Exec-managerial","Male","Thailand",">50K"
64,"HS-grad","Exec-managerial","Male","United-States",">50K"
33,"Bachelors","Prof-specialty","Female","United-States","<=50K"
33,"HS-grad","Craft-repair","Female","United-States",">50K"
61,"HS-grad","Exec-managerial","Male","United-States",">50K"
17,"9th","Other-service","Male","United-States","<=50K"
50,"Masters","Farming-fishing","Male","United-States","<=50K"
27,"Masters","Prof-specialty","Male","United-States","<=50K"
30,"HS-grad","Prof-specialty","Female","United-States","<=50K"
43,"HS-grad","Handlers-cleaners","Male","United-States","<=50K"
44,"Some-college","Craft-repair","Male","United-States",">50K"
35,"Some-college","Exec-managerial","Female","United-States","<=50K"
25,"Some-college","Tech-support","Female","United-States","<=50K"
24,"Some-college","Machine-op-inspct","Female","United-States",">50K"
22,"Bachelors","Prof-specialty","Female","Germany","<=50K"
42,"Some-college","Craft-repair","Male","United-States",">50K"
34,"Assoc-acdm","Sales","Female","United-States","<=50K"
60,"Bachelors","Prof-specialty","Female","United-States","<=50K"
21,"HS-grad","Handlers-cleaners","Male","United-States","<=50K"
57,"Masters","Sales","Male","United-States",">50K"
41,"Prof-school","Prof-specialty","Male","United-States",">50K"
50,"Some-college","Other-service","Male","United-States","<=50K"
25,"Bachelors","Exec-managerial","Female","United-States","<=50K"
50,"7th-8th","Craft-repair","Male","Ecuador","<=50K"
36,"Bachelors","Prof-specialty","Male","United-States","<=50K"
31,"HS-grad","Prof-specialty","Female","United-States","<=50K"
29,"Bachelors","Protective-serv","Male","United-States","<=50K"
21,"Some-college","Sales","Male","United-States","<=50K"
27,"Bachelors","Tech-support","Female","United-States","<=50K"
65,"HS-grad","Transport-moving","Male","United-States","<=50K"
37,"Bachelors","Sales","Female","United-States","<=50K"
24,"HS-grad","Craft-repair","Male","United-States","<=50K"
38,"HS-grad","Sales","Male","United-States","<=50K"
48,"Bachelors","Adm-clerical","Male","United-States",">50K"
21,"Some-college","Other-service","Female","United-States","<=50K"
31,"HS-grad","Transport-moving","Male","United-States",">50K"
55,"HS-grad","Sales","Male","United-States",">50K"
24,"Some-college","Adm-clerical","Female","Laos","<=50K"
43,"HS-grad","Adm-clerical","Female","United-States","<=50K"
26,"Assoc-acdm","Tech-support","Male","United-States","<=50K"
46,"Assoc-acdm","Prof-specialty","Female","United-States","<=50K"
35,"Assoc-acdm","Adm-clerical","Male","United-States",">50K"
41,"Some-college","Farming-fishing","Male","United-States",">50K"
26,"Bachelors","Sales","Male","United-States","<=50K"
34,"Masters","Exec-managerial","Male","Taiwan",">50K"
36,"Bachelors","Prof-specialty","Female","United-States",">50K"
22,"Some-college","Sales","Male","United-States","<=50K"
24,"Some-college","Machine-op-inspct","Male","United-States","<=50K"
77,"Some-college","Sales","Male","United-States","<=50K"
22,"5th-6th","Machine-op-inspct","Female","Mexico","<=50K"
29,"Some-college","Tech-support","Female","United-States","<=50K"
62,"HS-grad","Other-service","Female","United-States","<=50K"
39,"HS-grad","Exec-managerial","Male","United-States","<=50K"
43,"Some-college","Craft-repair","Male","United-States","<=50K"
35,"HS-grad","Transport-moving","Male","United-States","<=50K"
29,"11th","Exec-managerial","Female","United-States","<=50K"
76,"Masters","Craft-repair","Male","United-States","<=50K"
63,"HS-grad","Farming-fishing","Male","United-States","<=50K"
43,"Some-college","Prof-specialty","Female","United-States",">50K"
58,"HS-grad","Handlers-cleaners","Male","United-States","<=50K"
66,"HS-grad","Transport-moving","Male","United-States","<=50K"
41,"Some-college","Craft-repair","Male","United-States","<=50K"
26,"Bachelors","Adm-clerical","Male","United-States","<=50K"
47,"Assoc-voc","Other-service","Male","United-States","<=50K"
55,"10th","Adm-clerical","Male","United-States","<=50K"
53,"HS-grad","Transport-moving","Male","United-States","<=50K"
17,"5th-6th","Other-service","Male","Mexico","<=50K"
30,"HS-grad","Craft-repair","Male","United-States","<=50K"
49,"Masters","Prof-specialty","Male","United-States","<=50K"
19,"HS-grad","Sales","Male","Haiti","<=50K"
45,"HS-grad","Other-service","Male","United-States","<=50K"
26,"Assoc-acdm","Sales","Male","United-States","<=50K"
38,"Assoc-voc","Craft-repair","Male","United-States",">50K"
36,"HS-grad","Protective-serv","Male","United-States",">50K"
33,"HS-grad","Farming-fishing","Male","United-States","<=50K"
22,"Some-college","Protective-serv","Female","United-States","<=50K"
43,"Bachelors","Sales","Male","United-States","<=50K"
56,"Assoc-acdm","Other-service","Male","Iran","<=50K"
31,"Bachelors","Prof-specialty","Male","United-States","<=50K"
33,"Bachelors","Exec-managerial","Male","United-States",">50K"
26,"HS-grad","Other-service","Male","United-States","<=50K"
33,"Bachelors","Exec-managerial","Male","United-States",">50K"
46,"11th","Transport-moving","Male","United-States","<=50K"
38,"HS-grad","Adm-clerical","Male","United-States",">50K"
65,"11th","Other-service","Male","United-States","<=50K"
40,"Assoc-voc","Tech-support","Male","United-States",">50K"
42,"HS-grad","Adm-clerical","Female","United-States","<=50K"
26,"9th","Craft-repair","Male","Portugal","<=50K"
36,"10th","Other-service","Female","United-States","<=50K"
62,"Masters","Prof-specialty","Male","United-States",">50K"
43,"Bachelors","Transport-moving","Male","United-States","<=50K"
43,"Bachelors","Exec-managerial","Male","United-States",">50K"
22,"HS-grad","Sales","Male","United-States","<=50K"
28,"HS-grad","Craft-repair","Male","United-States","<=50K"
56,"Some-college","Sales","Male","United-States","<=50K"
22,"Assoc-acdm","Sales","Female","United-States","<=50K"
57,"Bachelors","Exec-managerial","Female","United-States",">50K"
39,"HS-grad","Sales","Female","United-States","<=50K"
26,"Some-college","Adm-clerical","Female","United-States","<=50K"
17,"11th","Other-service","Male","United-States","<=50K"
40,"Assoc-voc","Machine-op-inspct","Male","United-States",">50K"
45,"HS-grad","Machine-op-inspct","Male","United-States","<=50K"
44,"HS-grad","Craft-repair","Male","United-States","<=50K"
20,"Some-college","Adm-clerical","Female","United-States","<=50K"
33,"HS-grad","Craft-repair","Female","United-States","<=50K"
23,"Some-college","Sales","Male","United-States","<=50K"
46,"Masters","Exec-managerial","Male","United-States","<=50K"
38,"HS-grad","Sales","Male","United-States","<=50K"
54,"HS-grad","Transport-moving","Male","United-States","<=50K"
46,"5th-6th","Craft-repair","Female","United-States","<=50K"
25,"Some-college","Craft-repair","Male","United-States","<=50K"
46,"Some-college","Sales","Female","United-States","<=50K"
36,"Some-college","Transport-moving","Female","United-States","<=50K"
23,"HS-grad","Other-service","Female","United-States","<=50K"
29,"HS-grad","Machine-op-inspct","Male","United-States","<=50K"
44,"Some-college","Adm-clerical","Female","United-States",">50K"
19,"Some-college","Adm-clerical","Female","United-States","<=50K"
19,"HS-grad","Other-service","Female","United-States","<=50K"
35,"HS-grad","Other-service","Female","United-States",">50K"
27,"Bachelors","Craft-repair","Male","United-States","<=50K"
46,"Assoc-acdm","Craft-repair","Male","United-States","<=50K"
34,"HS-grad","Other-service","Female","United-States","<=50K"
44,"Some-college","Tech-support","Male","United-States","<=50K"
45,"Some-college","Handlers-cleaners","Female","United-States","<=50K"
25,"Bachelors","Exec-managerial","Male","United-States",">50K"
52,"Bachelors","Exec-managerial","Male","United-States",">50K"
20,"Some-college","Handlers-cleaners","Male","United-States","<=50K"
28,"Some-college","Other-service","Female","United-States","<=50K"
50,"Bachelors","Protective-serv","Male","United-States",">50K"
34,"Assoc-voc","Tech-support","Female","United-States","<=50K"
28,"7th-8th","Handlers-cleaners","Male","Puerto-Rico","<=50K"
41,"Masters","Exec-managerial","Male","United-States",">50K"
28,"HS-grad","Adm-clerical","Male","United-States","<=50K"
46,"HS-grad","Craft-repair","Male","United-States","<=50K"
32,"Some-college","Exec-managerial","Male","United-States","<=50K"
41,"Some-college","Other-service","Female","United-States","<=50K"
24,"HS-grad","Handlers-cleaners","Female","United-States","<=50K"
33,"Some-college","Exec-managerial","Female","United-States","<=50K"
46,"Doctorate","Exec-managerial","Male","United-States",">50K"
31,"Some-college","Machine-op-inspct","Male","United-States","<=50K"
35,"12th","Craft-repair","Male","United-States",">50K"
52,"1st-4th","Machine-op-inspct","Male","Mexico","<=50K"
30,"11th","Other-service","Female","United-States","<=50K"
34,"11th","Machine-op-inspct","Male","United-States","<=50K"
34,"HS-grad","Transport-moving","Female","United-States","<=50K"
20,"Some-college","Sales","Male","United-States","<=50K"
17,"11th","Handlers-cleaners","Male","United-States","<=50K"
32,"Bachelors","Exec-managerial","Female","United-States",">50K"
29,"HS-grad","Farming-fishing","Male","United-States","<=50K"
33,"10th","Craft-repair","Female","United-States","<=50K"
25,"HS-grad","Transport-moving","Male","United-States","<=50K"
36,"Masters","Prof-specialty","Male","United-States","<=50K"
23,"HS-grad","Handlers-cleaners","Male","Dominican-Republic","<=50K"
63,"HS-grad","Exec-managerial","Male","United-States",">50K"
47,"Masters","Prof-specialty","Male","United-States","<=50K"
40,"Bachelors","Prof-specialty","Female","United-States","<=50K"
30,"Assoc-acdm","Other-service","Female","United-States",">50K"
27,"Some-college","Craft-repair","Male","Philippines","<=50K"
33,"Masters","Prof-specialty","Male","United-States",">50K"
34,"HS-grad","Farming-fishing","Male","United-States","<=50K"
34,"Some-college","Protective-serv","Female","United-States","<=50K"
23,"Some-college","Adm-clerical","Male","United-States","<=50K"
42,"Some-college","Adm-clerical","Female","United-States","<=50K"
29,"Bachelors","Prof-specialty","Male","United-States","<=50K"
45,"HS-grad","Adm-clerical","Female","United-States","<=50K"
24,"HS-grad","Armed-Forces","Male","United-States","<=50K"
44,"Some-college","Prof-specialty","Male","United-States",">50K"
27,"9th","Craft-repair","Male","Mexico","<=50K"
20,"Some-college","Sales","Male","United-States","<=50K"
44,"HS-grad","Exec-managerial","Female","United-States","<=50K"
51,"HS-grad","Craft-repair","Male","United-States","<=50K"
20,"HS-grad","Machine-op-inspct","Male","United-States","<=50K"
19,"HS-grad","Machine-op-inspct","Female","United-States","<=50K"
45,"Some-college","Craft-repair","Male","United-States",">50K"
60,"HS-grad","Craft-repair","Male","United-States",">50K"
44,"HS-grad","Sales","Female","United-States",">50K"
40,"Assoc-voc","Machine-op-inspct","Male","United-States",">50K"
30,"HS-grad","Exec-managerial","Female","United-States","<=50K"
38,"Some-college","Transport-moving","Male","United-States","<=50K"
23,"HS-grad","Transport-moving","Male","United-States","<=50K"
44,"Assoc-acdm","Farming-fishing","Male","United-States","<=50K"
54,"HS-grad","Transport-moving","Male","United-States","<=50K"
32,"Bachelors","Prof-specialty","Male","United-States","<=50K"
50,"1st-4th","Craft-repair","Male","United-States","<=50K"
24,"Bachelors","Tech-support","Female","United-States","<=50K"
37,"HS-grad","Adm-clerical","Female","United-States","<=50K"
52,"HS-grad","Transport-moving","Male","United-States","<=50K"
38,"Some-college","Transport-moving","Male","United-States","<=50K"
49,"Masters","Exec-managerial","Male","United-States",">50K"
30,"Bachelors","Tech-support","Female","United-States",">50K"
60,"Some-college","Prof-specialty","Male","United-States",">50K"
35,"HS-grad","Craft-repair","Male","United-States","<=50K"
30,"HS-grad","Transport-moving","Male","United-States","<=50K"
67,"Assoc-voc","Other-service","Female","United-States","<=50K"
46,"Bachelors","Craft-repair","Female","United-States","<=50K"
17,"9th","Other-service","Male","United-States","<=50K"
22,"Some-college","Handlers-cleaners","Male","United-States","<=50K"
27,"10th","Other-service","Male","United-States","<=50K"
23,"HS-grad","Other-service","Female","United-States","<=50K"
33,"Assoc-acdm","Craft-repair","Male","Portugal","<=50K"
43,"Some-college","Craft-repair","Male","United-States","<=50K"
28,"Bachelors","Prof-specialty","Male","United-States","<=50K"
41,"HS-grad","Craft-repair","Female","United-States","<=50K"
25,"Some-college","Adm-clerical","Female","United-States","<=50K"
59,"HS-grad","Transport-moving","Male","United-States","<=50K"
45,"Bachelors","Prof-specialty","Female","United-States","<=50K"
38,"Bachelors","Sales","Male","United-States",">50K"
40,"HS-grad","Other-service","Female","United-States","<=50K"
46,"HS-grad","Adm-clerical","Male","United-States","<=50K"
35,"Assoc-acdm","Exec-managerial","Female","United-States","<=50K"
34,"HS-grad","Prof-specialty","Female","United-States","<=50K"
33,"Bachelors","Craft-repair","Male","United-States","<=50K"
41,"HS-grad","Adm-clerical","Female","United-States","<=50K"
20,"Some-college","Machine-op-inspct","Male","United-States","<=50K"
23,"5th-6th","Other-service","Male","El-Salvador","<=50K"
26,"Some-college","Prof-specialty","Female","United-States","<=50K"
23,"HS-grad","Farming-fishing","Male","Poland","<=50K"
62,"HS-grad","Transport-moving","Male","United-States","<=50K"
52,"Some-college","Adm-clerical","Male","United-States","<=50K"
58,"Some-college","Other-service","Female","France","<=50K"
25,"Bachelors","Sales","Female","United-States","<=50K"
24,"Bachelors","Exec-managerial","Male","United-States","<=50K"
19,"Some-college","Protective-serv","Male","United-States","<=50K"
43,"Some-college","Exec-managerial","Male","United-States","<=50K"
47,"HS-grad","Adm-clerical","Female","United-States","<=50K"
39,"HS-grad","Other-service","Female","United-States","<=50K"
49,"Assoc-voc","Handlers-cleaners","Male","United-States","<=50K"
32,"Assoc-voc","Craft-repair","Male","United-States","<=50K"
34,"Some-college","Prof-specialty","Male","United-States",">50K"
28,"HS-grad","Craft-repair","Male","United-States","<=50K"
25,"Some-college","Adm-clerical","Female","United-States","<=50K"
34,"Bachelors","Prof-specialty","Male","United-States",">50K"
38,"Bachelors","Exec-managerial","Male","United-States",">50K"
50,"HS-grad","Exec-managerial","Male","United-States",">50K"
24,"Some-college","Handlers-cleaners","Male","United-States","<=50K"
37,"Some-college","Tech-support","Male","United-States",">50K"
44,"Some-college","Machine-op-inspct","Male","United-States",">50K"
28,"Some-college","Sales","Female","United-States","<=50K"
42,"Bachelors","Exec-managerial","Male","United-States",">50K"
74,"Some-college","Adm-clerical","Female","United-States","<=50K"
38,"HS-grad","Craft-repair","Male","United-States","<=50K"
44,"Masters","Prof-specialty","Male","United-States","<=50K"
44,"11th","Machine-op-inspct","Female","Puerto-Rico","<=50K"
