"age","workclass","fnlwgt","education","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country","class (income)"
46,"Private",146195,"Assoc-acdm",12,"Divorced","Tech-support","Not-in-family","Black","Female",0,0,36,"United-States","<=50K"
27,"Private",163127,"Assoc-voc",11,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,35,"United-States","<=50K"
27,"Private",232782,"Some-college",10,"Never-married","Sales","Own-child","White","Female",0,0,40,"United-States","<=50K"
45,"Private",196584,"Assoc-voc",11,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1564,40,"United-States",">50K"
31,"Private",185814,"HS-grad",9,"Never-married","Transport-moving","Unmarried","Black","Female",0,0,30,"United-States","<=50K"
36,"Private",108293,"HS-grad",9,"Widowed","Other-service","Unmarried","White","Female",0,0,24,"United-States","<=50K"
47,"Local-gov",186009,"Some-college",10,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,38,"Mexico","<=50K"
34,"Private",198183,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
33,"Private",163003,"Bachelors",13,"Never-married","Exec-managerial","Other-relative","Asian-Pac-Islander","Female",0,0,40,"Philippines","<=50K"
25,"Private",252752,"HS-grad",9,"Never-married","Other-service","Unmarried","White","Female",0,0,40,"United-States","<=50K"
44,"Self-emp-inc",78374,"Masters",14,"Divorced","Exec-managerial","Unmarried","Asian-Pac-Islander","Female",0,0,40,"United-States","<=50K"
28,"Private",88419,"HS-grad",9,"Never-married","Exec-managerial","Not-in-family","Asian-Pac-Islander","Female",0,0,40,"England","<=50K"
36,"Private",207157,"Some-college",10,"Divorced","Other-service","Unmarried","White","Female",0,0,40,"Mexico","<=50K"
66,"Local-gov",54826,"Assoc-voc",11,"Widowed","Prof-specialty","Not-in-family","White","Female",0,0,20,"United-States","<=50K"
27,"Private",253814,"HS-grad",9,"Married-spouse-absent","Sales","Unmarried","White","Female",0,0,25,"United-States","<=50K"
43,"Private",114580,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
41,"Self-emp-not-inc",143129,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
31,"Private",99928,"Masters",14,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,50,"United-States","<=50K"
38,"Private",155222,"Some-college",10,"Divorced","Machine-op-inspct","Not-in-family","Black","Female",0,0,28,"United-States","<=50K"
40,"Federal-gov",56795,"Masters",14,"Never-married","Exec-managerial","Not-in-family","White","Female",14084,0,55,"United-States",">50K"
26,"Private",397317,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1876,40,"United-States","<=50K"
42,"Local-gov",254817,"Some-college",10,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1340,40,"United-States","<=50K"
37,"State-gov",48211,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,35,"United-States","<=50K"
18,"Private",140164,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,40,"United-States","<=50K"
58,"Self-emp-inc",210563,"HS-grad",9,"Married-civ-spouse","Sales","Wife","White","Female",15024,0,35,"United-States",">50K"
17,"Private",65368,"11th",7,"Never-married","Sales","Own-child","White","Female",0,0,12,"United-States","<=50K"
35,"Private",153790,"Some-college",10,"Never-married","Sales","Not-in-family","Amer-Indian-Eskimo","Female",0,0,40,"United-States","<=50K"
50,"Private",313321,"Assoc-acdm",12,"Divorced","Sales","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
53,"Local-gov",140359,"Preschool",1,"Never-married","Machine-op-inspct","Not-in-family","White","Female",0,0,35,"United-States","<=50K"
18,"Private",243313,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",0,0,40,"United-States","<=50K"
75,"Private",314209,"Assoc-voc",11,"Widowed","Adm-clerical","Not-in-family","White","Female",0,0,20,"Columbia","<=50K"
65,"Private",176796,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
41,"Private",130408,"HS-grad",9,"Divorced","Sales","Unmarried","Black","Female",0,0,38,"United-States","<=50K"
33,"Private",110978,"Some-college",10,"Divorced","Craft-repair","Other-relative","Other","Female",0,0,40,"United-States","<=50K"
40,"State-gov",170525,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,38,"United-States","<=50K"
41,"Self-emp-not-inc",196001,"HS-grad",9,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,20,"United-States","<=50K"
32,"Private",183916,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,0,34,"United-States","<=50K"
41,"Private",112763,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,40,"United-States",">50K"
42,"Private",390781,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Wife","Black","Female",0,0,40,"United-States","<=50K"
59,"Local-gov",171328,"10th",6,"Widowed","Other-service","Unmarried","Black","Female",0,0,30,"United-States","<=50K"
20,"Private",117789,"HS-grad",9,"Never-married","Other-service","Own-child","White","Female",0,0,40,"United-States","<=50K"
32,"Private",172579,"HS-grad",9,"Separated","Other-service","Not-in-family","White","Female",0,0,30,"United-States","<=50K"
45,"Private",187666,"Assoc-voc",11,"Widowed","Exec-managerial","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
36,"Private",150042,"Bachelors",13,"Divorced","Prof-specialty","Own-child","White","Female",0,0,40,"United-States","<=50K"
33,"Private",185480,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
33,"Private",222205,"HS-grad",9,"Married-civ-spouse","Craft-repair","Wife","White","Female",0,0,40,"United-States",">50K"
30,"Private",70377,"HS-grad",9,"Divorced","Prof-specialty","Own-child","White","Female",0,0,40,"United-States","<=50K"
35,"Private",190174,"Some-college",10,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
25,"Private",193787,"Some-college",10,"Never-married","Tech-support","Own-child","White","Female",0,0,40,"United-States","<=50K"
24,"Private",279472,"Some-college",10,"Married-civ-spouse","Machine-op-inspct","Wife","White","Female",7298,0,48,"United-States",">50K"
22,"Private",34918,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,15,"Germany","<=50K"
34,"Private",175413,"Assoc-acdm",12,"Divorced","Sales","Unmarried","Black","Female",0,0,45,"United-States","<=50K"
60,"Private",173960,"Bachelors",13,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,42,"United-States","<=50K"
25,"Private",371987,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
31,"Private",127595,"HS-grad",9,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
27,"Private",248402,"Bachelors",13,"Never-married","Tech-support","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
37,"Self-emp-inc",57424,"Bachelors",13,"Divorced","Sales","Not-in-family","White","Female",0,0,60,"United-States","<=50K"
21,"Private",153718,"Some-college",10,"Never-married","Other-service","Not-in-family","Asian-Pac-Islander","Female",0,0,25,"United-States","<=50K"
24,"Private",303296,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","Asian-Pac-Islander","Female",0,0,40,"Laos","<=50K"
43,"Private",173321,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
46,"Private",83082,"Assoc-acdm",12,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,33,"United-States","<=50K"
36,"Self-emp-not-inc",205607,"Bachelors",13,"Divorced","Prof-specialty","Not-in-family","Black","Female",0,0,40,"United-States",">50K"
22,"Private",399087,"5th-6th",3,"Married-civ-spouse","Machine-op-inspct","Other-relative","White","Female",0,0,40,"Mexico","<=50K"
29,"Private",423158,"Some-college",10,"Never-married","Tech-support","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
62,"Private",159841,"HS-grad",9,"Widowed","Other-service","Not-in-family","White","Female",0,0,24,"United-States","<=50K"
29,"Private",200381,"11th",7,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
43,"Private",187728,"Some-college",10,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1887,50,"United-States",">50K"
22,"State-gov",293364,"Some-college",10,"Never-married","Protective-serv","Own-child","Black","Female",0,0,40,"United-States","<=50K"
42,"Private",111949,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,35,"United-States","<=50K"
36,"Private",348022,"10th",6,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,24,"United-States","<=50K"
22,"Private",362589,"Assoc-acdm",12,"Never-married","Sales","Not-in-family","White","Female",0,0,15,"United-States","<=50K"
57,"Private",212448,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,45,"United-States",">50K"
39,"Private",481060,"HS-grad",9,"Divorced","Sales","Unmarried","White","Female",0,0,40,"United-States","<=50K"
26,"Federal-gov",185885,"Some-college",10,"Never-married","Adm-clerical","Unmarried","White","Female",0,0,15,"United-States","<=50K"
20,"Local-gov",350845,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,0,10,"United-States","<=50K"
33,"Private",267404,"HS-grad",9,"Married-civ-spouse","Craft-repair","Wife","White","Female",0,0,40,"United-States","<=50K"
46,"Private",214955,"5th-6th",3,"Divorced","Craft-repair","Not-in-family","White","Female",0,2339,45,"United-States","<=50K"
46,"Private",108699,"Some-college",10,"Divorced","Sales","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
36,"Local-gov",117312,"Some-college",10,"Married-civ-spouse","Transport-moving","Wife","White","Female",0,0,40,"United-States","<=50K"
23,"Private",396099,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,0,25,"United-States","<=50K"
44,"Private",162028,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,2415,6,"United-States",">50K"
19,"Private",25429,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,0,16,"United-States","<=50K"
19,"Private",232392,"HS-grad",9,"Never-married","Other-service","Other-relative","White","Female",0,0,40,"United-States","<=50K"
35,"Private",220098,"HS-grad",9,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,40,"United-States",">50K"
34,"Private",196164,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,0,35,"United-States","<=50K"
45,"Private",96975,"Some-college",10,"Divorced","Handlers-cleaners","Unmarried","White","Female",0,0,40,"United-States","<=50K"
28,"Private",108574,"Some-college",10,"Never-married","Other-service","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
34,"Private",227689,"Assoc-voc",11,"Divorced","Tech-support","Not-in-family","White","Female",0,0,64,"United-States","<=50K"
41,"Local-gov",42346,"Some-college",10,"Divorced","Other-service","Not-in-family","Black","Female",0,0,24,"United-States","<=50K"
24,"Private",241951,"HS-grad",9,"Never-married","Handlers-cleaners","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
33,"Private",118500,"Some-college",10,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States","<=50K"
30,"Private",426017,"11th",7,"Never-married","Other-service","Own-child","White","Female",0,0,19,"United-States","<=50K"
34,"State-gov",240283,"HS-grad",9,"Divorced","Transport-moving","Unmarried","White","Female",0,0,40,"United-States","<=50K"
32,"State-gov",92003,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,"United-States",">50K"
33,"Private",228528,"10th",6,"Never-married","Craft-repair","Unmarried","White","Female",0,0,35,"United-States","<=50K"
40,"Self-emp-not-inc",204116,"Bachelors",13,"Married-spouse-absent","Prof-specialty","Not-in-family","White","Female",2174,0,40,"United-States","<=50K"
30,"Private",29662,"Assoc-acdm",12,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,25,"United-States",">50K"
34,"Local-gov",117018,"Some-college",10,"Never-married","Protective-serv","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
42,"Local-gov",340148,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States","<=50K"
45,"Private",45857,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,28,"United-States","<=50K"
44,"Private",290521,"HS-grad",9,"Widowed","Exec-managerial","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
19,"Private",206399,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","Black","Female",0,0,40,"United-States","<=50K"
44,"Self-emp-not-inc",234885,"HS-grad",9,"Married-civ-spouse","Sales","Wife","White","Female",0,0,40,"United-States",">50K"
30,"Private",180374,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,"United-States","<=50K"
24,"Private",170070,"Bachelors",13,"Never-married","Tech-support","Not-in-family","White","Female",0,0,20,"United-States","<=50K"
37,"Private",126708,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,60,"United-States","<=50K"
30,"Private",118551,"Bachelors",13,"Married-civ-spouse","Tech-support","Wife","White","Female",0,0,16,"United-States",">50K"
67,"Private",49401,"Assoc-voc",11,"Divorced","Other-service","Not-in-family","White","Female",0,0,24,"United-States","<=50K"
46,"Private",279196,"Bachelors",13,"Never-married","Craft-repair","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
23,"Private",197904,"HS-grad",9,"Never-married","Other-service","Unmarried","White","Female",0,0,35,"United-States","<=50K"
41,"Private",193626,"HS-grad",9,"Married-spouse-absent","Craft-repair","Unmarried","White","Female",0,0,40,"United-States","<=50K"
25,"Private",189775,"Some-college",10,"Married-spouse-absent","Adm-clerical","Own-child","Black","Female",0,0,20,"United-States","<=50K"
45,"Local-gov",164427,"Bachelors",13,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,40,"United-States","<=50K"
40,"Private",347934,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,0,35,"United-States","<=50K"
35,"Private",32220,"Assoc-acdm",12,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,60,"United-States","<=50K"
34,"Private",187251,"HS-grad",9,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,25,"United-States","<=50K"
41,"Private",343121,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,36,"United-States","<=50K"
26,"Private",64293,"Some-college",10,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,35,"United-States","<=50K"
58,"Private",180980,"Some-college",10,"Divorced","Other-service","Unmarried","White","Female",0,0,42,"France","<=50K"
25,"Private",181054,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
47,"Local-gov",543162,"HS-grad",9,"Separated","Adm-clerical","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
39,"Private",91996,"HS-grad",9,"Divorced","Other-service","Unmarried","White","Female",0,0,40,"United-States","<=50K"
25,"Private",267044,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","Amer-Indian-Eskimo","Female",0,0,20,"United-States","<=50K"
28,"Private",85812,"Some-college",10,"Married-civ-spouse","Sales","Wife","White","Female",0,0,40,"United-States","<=50K"
74,"Private",99183,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,9,"United-States","<=50K"
44,"Private",109339,"11th",7,"Divorced","Machine-op-inspct","Unmarried","Other","Female",0,0,46,"Puerto-Rico","<=50K"
41,"Private",101739,"Assoc-acdm",12,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,50,"United-States",">50K"
57,"Private",190942,"1st-4th",2,"Widowed","Priv-house-serv","Not-in-family","Black","Female",0,0,30,"United-States","<=50K"
31,"Self-emp-inc",41493,"Bachelors",13,"Never-married","Farming-fishing","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
30,"Private",237903,"Some-college",10,"Never-married","Handlers-cleaners","Unmarried","White","Female",0,0,40,"United-States","<=50K"
32,"Private",84179,"HS-grad",9,"Never-married","Handlers-cleaners","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
58,"Private",51662,"10th",6,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,8,"United-States","<=50K"
36,"Self-emp-not-inc",27053,"HS-grad",9,"Separated","Other-service","Unmarried","White","Female",0,0,40,"United-States","<=50K"
72,"Private",205343,"11th",7,"Widowed","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K"
35,"Private",229328,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Wife","Black","Female",0,0,40,"United-States","<=50K"
33,"Federal-gov",319560,"Assoc-voc",11,"Divorced","Craft-repair","Unmarried","Black","Female",0,0,40,"United-States",">50K"
69,"Private",136218,"11th",7,"Never-married","Machine-op-inspct","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
34,"Private",148291,"HS-grad",9,"Married-civ-spouse","Tech-support","Wife","White","Female",0,0,32,"United-States","<=50K"
24,"Private",82804,"HS-grad",9,"Never-married","Handlers-cleaners","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
45,"Private",433665,"7th-8th",4,"Separated","Other-service","Unmarried","White","Female",0,0,40,"Mexico","<=50K"
27,"Private",158156,"Doctorate",16,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,70,"United-States","<=50K"
36,"Self-emp-not-inc",28738,"Assoc-acdm",12,"Divorced","Sales","Unmarried","White","Female",0,0,35,"United-States","<=50K"
58,"Local-gov",283635,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
21,"Private",197747,"Some-college",10,"Never-married","Sales","Own-child","White","Female",0,0,24,"United-States","<=50K"
23,"Private",117789,"Bachelors",13,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States","<=50K"
49,"Private",136455,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
60,"Private",51290,"7th-8th",4,"Divorced","Other-service","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
48,"Private",45612,"HS-grad",9,"Never-married","Adm-clerical","Unmarried","Black","Female",0,0,37,"United-States","<=50K"
17,"Private",169658,"10th",6,"Never-married","Other-service","Own-child","White","Female",0,0,21,"United-States","<=50K"
52,"Private",200853,"Masters",14,"Divorced","Prof-specialty","Not-in-family","White","Female",6849,0,60,"United-States","<=50K"
27,"Private",109881,"Bachelors",13,"Never-married","Other-service","Own-child","White","Female",0,0,20,"United-States","<=50K"
23,"Private",190483,"Bachelors",13,"Never-married","Sales","Own-child","White","Female",0,0,20,"United-States","<=50K"
45,"Private",462440,"11th",7,"Widowed","Other-service","Not-in-family","Black","Female",0,0,20,"United-States","<=50K"
65,"Private",109351,"9th",5,"Widowed","Priv-house-serv","Unmarried","Black","Female",0,0,24,"United-States","<=50K"
47,"Self-emp-not-inc",165039,"Some-college",10,"Never-married","Other-service","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
49,"Local-gov",120451,"10th",6,"Separated","Other-service","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
30,"Private",103649,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Wife","Black","Female",0,0,40,"United-States",">50K"
19,"Private",262601,"HS-grad",9,"Never-married","Other-service","Own-child","White","Female",0,0,14,"United-States","<=50K"
31,"Local-gov",402089,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K"
38,"State-gov",143774,"Some-college",10,"Separated","Exec-managerial","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
27,"Private",288341,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Female",0,0,32,"United-States","<=50K"
29,"State-gov",71592,"Some-college",10,"Never-married","Adm-clerical","Unmarried","Asian-Pac-Islander","Female",0,0,40,"Philippines","<=50K"
20,"Private",81145,"Some-college",10,"Never-married","Sales","Not-in-family","White","Female",0,0,25,"United-States","<=50K"
42,"Private",341204,"Assoc-acdm",12,"Divorced","Prof-specialty","Unmarried","White","Female",8614,0,40,"United-States",">50K"
22,"Private",240817,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",2597,0,40,"United-States","<=50K"
18,"State-gov",59342,"11th",7,"Never-married","Adm-clerical","Own-child","White","Female",0,0,5,"United-States","<=50K"
34,"Private",136721,"HS-grad",9,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States","<=50K"
45,"Local-gov",86644,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,55,"United-States","<=50K"
24,"Private",140027,"Some-college",10,"Never-married","Machine-op-inspct","Own-child","Black","Female",0,0,45,"United-States","<=50K"
23,"State-gov",335453,"Bachelors",13,"Never-married","Tech-support","Not-in-family","White","Female",0,0,20,"United-States","<=50K"
30,"Private",189620,"Bachelors",13,"Never-married","Prof-specialty","Own-child","White","Female",0,0,40,"Poland","<=50K"
19,"Private",475028,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",0,0,20,"United-States","<=50K"
31,"Private",243605,"Bachelors",13,"Widowed","Sales","Unmarried","White","Female",0,1380,40,"Cuba","<=50K"
46,"Private",295566,"Doctorate",16,"Divorced","Prof-specialty","Unmarried","White","Female",25236,0,65,"United-States",">50K"
44,"Private",63042,"Bachelors",13,"Divorced","Exec-managerial","Own-child","White","Female",0,0,50,"United-States",">50K"
36,"Private",70282,"Some-college",10,"Divorced","Adm-clerical","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
36,"Local-gov",382635,"Bachelors",13,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,35,"Honduras","<=50K"
31,"Private",295697,"HS-grad",9,"Separated","Other-service","Unmarried","Black","Female",0,0,40,"United-States","<=50K"
19,"State-gov",378418,"HS-grad",9,"Never-married","Tech-support","Own-child","White","Female",0,0,40,"United-States","<=50K"
22,"Private",214399,"Some-college",10,"Never-married","Sales","Own-child","White","Female",0,0,15,"United-States","<=50K"
44,"Private",111502,"HS-grad",9,"Married-civ-spouse","Sales","Wife","White","Female",0,0,40,"United-States","<=50K"
20,"Private",299047,"Some-college",10,"Never-married","Other-service","Not-in-family","White","Female",0,0,20,"United-States","<=50K"
23,"Private",352139,"Some-college",10,"Never-married","Other-service","Not-in-family","White","Female",0,0,24,"United-States","<=50K"
55,"Private",173093,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","Asian-Pac-Islander","Female",0,0,40,"United-States","<=50K"
25,"Private",332702,"Assoc-voc",11,"Never-married","Other-service","Own-child","White","Female",0,0,15,"United-States","<=50K"
36,"Private",131414,"Some-college",10,"Never-married","Sales","Not-in-family","Black","Female",0,0,36,"United-States","<=50K"
56,"Private",156052,"HS-grad",9,"Widowed","Other-service","Unmarried","Black","Female",594,0,20,"United-States","<=50K"
19,"Private",192453,"Some-college",10,"Never-married","Other-service","Other-relative","White","Female",0,0,25,"United-States","<=50K"
42,"Private",151408,"Masters",14,"Never-married","Exec-managerial","Not-in-family","White","Female",14084,0,50,"United-States",">50K"
42,"Local-gov",126319,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,40,"United-States",">50K"
32,"Private",267736,"Some-college",10,"Never-married","Adm-clerical","Own-child","Black","Female",0,0,40,"United-States","<=50K"
33,"Local-gov",120064,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,45,"United-States","<=50K"
46,"Federal-gov",167381,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States",">50K"
36,"Private",101460,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,0,18,"United-States","<=50K"
