date,variable,value,value01
01/02/1978,pce,1358.9,0.073064415
01/03/1978,pce,1381.4,0.074995066
01/04/1978,pce,1400.2,0.076608232
01/05/1978,pce,1415.9,0.077955398
01/06/1978,pce,1429.8,0.079148111
01/07/1978,pce,1430.8,0.079233918
01/08/1978,pce,1451,0.080967213
01/09/1978,pce,1456.9,0.081473473
01/10/1978,pce,1471,0.082683347
01/11/1978,pce,1484.7,0.083858899
01/12/1978,pce,1500.5,0.085214645
01/01/1979,pce,1506.3,0.085712324
01/02/1979,pce,1521.6,0.087025167
01/03/1979,pce,1535,0.088174977
01/04/1979,pce,1542.3,0.088801366
01/05/1979,pce,1562.7,0.090551823
01/06/1979,pce,1579.6,0.092001956
01/07/1979,pce,1590.1,0.092902927
01/08/1979,pce,1619.7,0.095442806
01/09/1979,pce,1638.1,0.097021649
01/10/1979,pce,1646,0.097699522
01/11/1979,pce,1661.7,0.099046687
01/12/1979,pce,1670.7,0.099818948
01/01/1980,pce,1701.6,0.102470375
01/02/1980,pce,1705.6,0.102813602
01/03/1980,pce,1712.4,0.103397088
01/04/1980,pce,1699.5,0.102290181
01/05/1980,pce,1704.3,0.102702053
01/06/1980,pce,1723,0.104306639
01/07/1980,pce,1751.2,0.106726388
01/08/1980,pce,1767.7,0.108142199
01/09/1980,pce,1784.1,0.109549429
01/10/1980,pce,1820.4,0.112664213
01/11/1980,pce,1830.2,0.113505118
01/12/1980,pce,1855.5,0.115676028
01/01/1981,pce,1874.7,0.117323517
01/02/1981,pce,1889.4,0.118584876
01/03/1981,pce,1908.1,0.120189461
01/04/1981,pce,1909.1,0.120275268
01/05/1981,pce,1918.2,0.121056109
01/06/1981,pce,1938.5,0.122797985
01/07/1981,pce,1945.7,0.123415794
01/08/1981,pce,1969.8,0.125483735
01/09/1981,pce,1968.2,0.125346445
01/10/1981,pce,1966.2,0.125174831
01/11/1981,pce,1972.4,0.125706833
01/12/1981,pce,1989.9,0.12720845
01/01/1982,pce,1997.4,0.127852001
01/02/1982,pce,2021.4,0.129911362
01/03/1982,pce,2024.4,0.130168782
01/04/1982,pce,2027.2,0.130409041
01/05/1982,pce,2045.9,0.132013626
01/06/1982,pce,2050.2,0.132382595
01/07/1982,pce,2075.1,0.134519182
01/08/1982,pce,2083.7,0.13525712
01/09/1982,pce,2108.9,0.137419449
01/10/1982,pce,2130.7,0.139290035
01/11/1982,pce,2154.7,0.141349396
01/12/1982,pce,2167.4,0.142439142
01/01/1983,pce,2180.1,0.143528887
01/02/1983,pce,2183.1,0.143786307
01/03/1983,pce,2208.6,0.145974378
01/04/1983,pce,2231.8,0.147965094
01/05/1983,pce,2251,0.149612583
01/06/1983,pce,2280.8,0.152169623
01/07/1983,pce,2309,0.154589372
01/08/1983,pce,2324.8,0.155945118
01/09/1983,pce,2339.1,0.157172154
01/10/1983,pce,2361.8,0.159119966
01/11/1983,pce,2370.4,0.159857904
01/12/1983,pce,2397.9,0.162217589
01/01/1984,pce,2423.8,0.164439982
01/02/1984,pce,2408.1,0.163092817
01/03/1984,pce,2436.4,0.165521147
01/04/1984,pce,2462.6,0.167769283
01/05/1984,pce,2479.8,0.169245158
01/06/1984,pce,2501.2,0.171081422
01/07/1984,pce,2500.5,0.171021357
01/08/1984,pce,2518.4,0.172557297
01/09/1984,pce,2540.3,0.174436464
01/10/1984,pce,2538.2,0.17425627
01/11/1984,pce,2578.6,0.177722861
01/12/1984,pce,2590,0.178701058
01/01/1985,pce,2626.3,0.181815842
01/02/1985,pce,2648.6,0.183729331
01/03/1985,pce,2656.8,0.184432946
01/04/1985,pce,2668.4,0.185428304
01/05/1985,pce,2705.9,0.188646056
01/06/1985,pce,2699.3,0.188079732
01/07/1985,pce,2725.9,0.19036219
01/08/1985,pce,2762.7,0.193519877
01/09/1985,pce,2805.6,0.197200985
01/10/1985,pce,2767.1,0.193897427
01/11/1985,pce,2782.7,0.195236011
01/12/1985,pce,2822.8,0.198676861
01/01/1986,pce,2838.3,0.200006865
01/02/1986,pce,2831.2,0.199397637
01/03/1986,pce,2834.7,0.19969796
01/04/1986,pce,2846.5,0.20071048
01/05/1986,pce,2869,0.202641131
01/06/1986,pce,2873.5,0.203027261
01/07/1986,pce,2893.4,0.204734814
01/08/1986,pce,2911.1,0.206253593
01/09/1986,pce,2984.6,0.212560386
01/10/1986,pce,2945.9,0.209239667
01/11/1986,pce,2941.7,0.208879279
01/12/1986,pce,3010.8,0.214808522
01/01/1987,pce,2949.9,0.209582894
01/02/1987,pce,3016.5,0.215297621
01/03/1987,pce,3028.4,0.21631872
01/04/1987,pce,3054.1,0.218523953
01/05/1987,pce,3063.9,0.219364859
01/06/1987,pce,3088.4,0.221467123
01/07/1987,pce,3110.7,0.223380613
01/08/1987,pce,3147,0.226495396
01/09/1987,pce,3142.9,0.226143589
01/10/1987,pce,3151.1,0.226847204
01/11/1987,pce,3160.9,0.22768811
01/12/1987,pce,3190.9,0.230262311
01/01/1988,pce,3230.7,0.233677418
01/02/1988,pce,3238.5,0.234346711
01/03/1988,pce,3277.8,0.237718914
01/04/1988,pce,3280.4,0.237942012
01/05/1988,pce,3311,0.240567697
01/06/1988,pce,3335.6,0.242678542
01/07/1988,pce,3359.3,0.244712161
01/08/1988,pce,3384.3,0.246857329
01/09/1988,pce,3391.4,0.247466557
01/10/1988,pce,3430.4,0.250813019
01/11/1988,pce,3447,0.25223741
01/12/1988,pce,3476.3,0.254751547
01/01/1989,pce,3499.9,0.256776585
01/02/1989,pce,3503.9,0.257119812
01/03/1989,pce,3514.5,0.258029363
01/04/1989,pce,3558.6,0.261813439
01/05/1989,pce,3567.5,0.262577119
01/06/1989,pce,3582.4,0.263855639
01/07/1989,pce,3601.7,0.265511708
01/08/1989,pce,3636.8,0.268523524
01/09/1989,pce,3638.1,0.268635073
01/10/1989,pce,3650,0.269656173
01/11/1989,pce,3659.7,0.270488498
01/12/1989,pce,3700.7,0.274006573
01/01/1990,pce,3747.2,0.277996585
01/02/1990,pce,3744.8,0.277790649
01/03/1990,pce,3771.5,0.280081688
01/04/1990,pce,3786.7,0.28138595
01/05/1990,pce,3792.5,0.281883629
01/06/1990,pce,3821.3,0.284354862
01/07/1990,pce,3838.5,0.285830738
01/08/1990,pce,3865,0.288104616
01/09/1990,pce,3886.7,0.289966621
01/10/1990,pce,3887.1,0.290000944
01/11/1990,pce,3888.4,0.290112493
01/12/1990,pce,3877.8,0.289202941
01/01/1991,pce,3857.6,0.287469646
01/02/1991,pce,3883.3,0.289674878
01/03/1991,pce,3929.7,0.29365631
01/04/1991,pce,3923.9,0.293158631
01/05/1991,pce,3950,0.295398186
01/06/1991,pce,3957.1,0.296007414
01/07/1991,pce,3982.4,0.298178324
01/08/1991,pce,3985.4,0.298435744
01/09/1991,pce,4001.2,0.29979149
01/10/1991,pce,3992.9,0.299079294
01/11/1991,pce,4020.6,0.30145614
01/12/1991,pce,4037.7,0.302923435
01/01/1992,pce,4101.9,0.308432226
01/02/1992,pce,4116.8,0.309710746
01/03/1992,pce,4134.3,0.311212363
01/04/1992,pce,4149,0.312473722
01/05/1992,pce,4176.1,0.314799084
01/06/1992,pce,4195,0.31642083
01/07/1992,pce,4223,0.318823418
01/08/1992,pce,4239.3,0.320222068
01/09/1992,pce,4273.9,0.32319098
01/10/1992,pce,4303.5,0.325730859
01/11/1992,pce,4319.5,0.327103766
01/12/1992,pce,4355.6,0.330201388
01/01/1993,pce,4359.7,0.330553196
01/02/1993,pce,4374.3,0.331805974
01/03/1993,pce,4371.4,0.331557134
01/04/1993,pce,4412.4,0.33507521
01/05/1993,pce,4441.3,0.337555024
01/06/1993,pce,4458.8,0.339056641
01/07/1993,pce,4487.7,0.341536455
01/08/1993,pce,4499.9,0.342583297
01/09/1993,pce,4530.5,0.345208982
01/10/1993,pce,4552,0.347053827
01/11/1993,pce,4573.4,0.34889009
01/12/1993,pce,4590.7,0.350374546
01/01/1994,pce,4604.8,0.351584421
01/02/1994,pce,4652.3,0.35566024
01/03/1994,pce,4665.4,0.356784308
01/04/1994,pce,4690.7,0.358955217
01/05/1994,pce,4689.2,0.358826507
01/06/1994,pce,4728.8,0.362224453
01/07/1994,pce,4740.8,0.363254134
01/08/1994,pce,4783,0.366875177
01/09/1994,pce,4795.5,0.367947761
01/10/1994,pce,4833.3,0.371191255
01/11/1994,pce,4846,0.372281
01/12/1994,pce,4862.3,0.373679649
01/01/1995,pce,4871.9,0.374503394
01/02/1995,pce,4871.7,0.374486232
01/03/1995,pce,4906.5,0.377472306
01/04/1995,pce,4911.5,0.377901339
01/05/1995,pce,4954.4,0.381582447
01/06/1995,pce,4999,0.385409427
01/07/1995,pce,4991.8,0.384791618
01/08/1995,pce,5027.1,0.387820595
01/09/1995,pce,5042.5,0.389142019
01/10/1995,pce,5035.9,0.388575694
01/11/1995,pce,5077.8,0.392170996
01/12/1995,pce,5120.1,0.39580062
01/01/1996,pce,5108.9,0.394839584
01/02/1996,pce,5156.1,0.398889661
01/03/1996,pce,5196.4,0.402347672
01/04/1996,pce,5231.6,0.405368068
01/05/1996,pce,5247.2,0.406706653
01/06/1996,pce,5253.7,0.407264396
01/07/1996,pce,5275.8,0.409160725
01/08/1996,pce,5299,0.41115144
01/09/1996,pce,5320,0.412953381
01/10/1996,pce,5351.5,0.415656293
01/11/1996,pce,5375,0.41767275
01/12/1996,pce,5401.7,0.41996379
01/01/1997,pce,5434.9,0.422812572
01/02/1997,pce,5457.7,0.424768965
01/03/1997,pce,5477.6,0.426476519
01/04/1997,pce,5482.8,0.426922714
01/05/1997,pce,5484.3,0.427051424
01/06/1997,pce,5518.2,0.429960271
01/07/1997,pce,5573,0.434662479
01/08/1997,pce,5611.8,0.43799178
01/09/1997,pce,5625.6,0.439175912
01/10/1997,pce,5661.2,0.442230631
01/11/1997,pce,5685.2,0.444289992
01/12/1997,pce,5716.4,0.446967162
01/01/1998,pce,5714.4,0.446795548
01/02/1998,pce,5748.4,0.449712977
01/03/1998,pce,5775,0.451995435
01/04/1998,pce,5812.9,0.455247509
01/05/1998,pce,5863.3,0.459572168
01/06/1998,pce,5897.2,0.462481015
01/07/1998,pce,5915.6,0.464059859
01/08/1998,pce,5951,0.467097416
01/09/1998,pce,5991.8,0.47059833
01/10/1998,pce,6025.8,0.473515758
01/11/1998,pce,6042.7,0.474965892
01/12/1998,pce,6098.2,0.479728164
01/01/1999,pce,6099.1,0.47980539
01/02/1999,pce,6128.2,0.482302366
01/03/1999,pce,6159.7,0.485005277
01/04/1999,pce,6223.6,0.490488326
01/05/1999,pce,6253.4,0.493045366
01/06/1999,pce,6281.9,0.495490857
01/07/1999,pce,6309.5,0.497859123
01/08/1999,pce,6354.8,0.501746167
01/09/1999,pce,6407.4,0.5062596
01/10/1999,pce,6431.2,0.508301799
01/11/1999,pce,6467.2,0.511390841
01/12/1999,pce,6568.2,0.520057319
01/01/2000,pce,6564.7,0.519756995
01/02/2000,pce,6648.7,0.526964759
01/03/2000,pce,6714.8,0.532636583
01/04/2000,pce,6701,0.53145245
01/05/2000,pce,6737.2,0.534558653
01/06/2000,pce,6773.6,0.537682017
01/07/2000,pce,6793.7,0.539406732
01/08/2000,pce,6828.7,0.542409967
01/09/2000,pce,6913.1,0.549652054
01/10/2000,pce,6919.6,0.550209797
01/11/2000,pce,6934.5,0.551488317
01/12/2000,pce,6979.1,0.555315297
01/01/2001,pce,7009.8,0.557949563
01/02/2001,pce,7029.3,0.559622794
01/03/2001,pce,7022.1,0.559004985
01/04/2001,pce,7036.2,0.56021486
01/05/2001,pce,7083.1,0.564239195
01/06/2001,pce,7097.1,0.565440489
01/07/2001,pce,7109.2,0.56647875
01/08/2001,pce,7146.1,0.569645018
01/09/2001,pce,7054.8,0.561810865
01/10/2001,pce,7250.2,0.578577496
01/11/2001,pce,7209.6,0.575093744
01/12/2001,pce,7190,0.573411932
01/01/2002,pce,7217.7,0.575788778
01/02/2002,pce,7259.7,0.57939266
01/03/2002,pce,7276.7,0.580851374
01/04/2002,pce,7345.6,0.586763457
01/05/2002,pce,7321.8,0.584721257
01/06/2002,pce,7366.1,0.588522494
01/07/2002,pce,7424.2,0.593507864
01/08/2002,pce,7449,0.595635871
01/09/2002,pce,7426.1,0.593670897
01/10/2002,pce,7469.3,0.597377747
01/11/2002,pce,7499.8,0.599994852
01/12/2002,pce,7552.6,0.604525446
01/01/2003,pce,7579.5,0.606833647
01/02/2003,pce,7573.6,0.606327387
01/03/2003,pce,7627.5,0.610952369
01/04/2003,pce,7661.7,0.613886958
01/05/2003,pce,7669.2,0.614530509
01/06/2003,pce,7722.9,0.619138329
01/07/2003,pce,7783.8,0.624363958
01/08/2003,pce,7878.9,0.632524176
01/09/2003,pce,7874,0.632103723
01/10/2003,pce,7890.6,0.633528115
01/11/2003,pce,7950.4,0.638659356
01/12/2003,pce,7974.3,0.640710136
01/01/2004,pce,8037.3,0.646115959
01/02/2004,pce,8072.1,0.649102033
01/03/2004,pce,8121,0.653297981
01/04/2004,pce,8141.6,0.655065599
01/05/2004,pce,8212.9,0.661183618
01/06/2004,pce,8204.6,0.660471422
01/07/2004,pce,8270.7,0.666143246
01/08/2004,pce,8294.4,0.668176865
01/09/2004,pce,8373,0.674921272
01/10/2004,pce,8417.9,0.678773994
01/11/2004,pce,8458.4,0.682249166
01/12/2004,pce,8516.5,0.687234535
01/01/2005,pce,8521.2,0.687637827
01/02/2005,pce,8575.7,0.692314293
01/03/2005,pce,8622.5,0.696330047
01/04/2005,pce,8715.9,0.704344394
01/05/2005,pce,8680.6,0.701315417
01/06/2005,pce,8775.3,0.709441312
01/07/2005,pce,8867.9,0.717387014
01/08/2005,pce,8872.6,0.717790306
01/09/2005,pce,8923.6,0.722166448
01/10/2005,pce,8959.6,0.725255489
01/11/2005,pce,8987.7,0.727666658
01/12/2005,pce,9026.8,0.731021701
01/01/2006,pce,9100.1,0.737311332
01/02/2006,pce,9134.7,0.740280245
01/03/2006,pce,9168.1,0.743146189
01/04/2006,pce,9223.3,0.747882719
01/05/2006,pce,9254.1,0.750525566
01/06/2006,pce,9283.8,0.753074025
01/07/2006,pce,9360.4,0.75964682
01/08/2006,pce,9368.6,0.760350435
01/09/2006,pce,9393.9,0.762521344
01/10/2006,pce,9413.3,0.764185995
01/11/2006,pce,9431.2,0.765721935
01/12/2006,pce,9516.5,0.773041247
01/01/2007,pce,9553.1,0.776181773
01/02/2007,pce,9590.8,0.779416686
01/03/2007,pce,9631.6,0.7829176
01/04/2007,pce,9670.6,0.786264062
01/05/2007,pce,9708.9,0.789550459
01/06/2007,pce,9723.3,0.790786075
01/07/2007,pce,9759.6,0.793900859
01/08/2007,pce,9800.6,0.797418934
01/09/2007,pce,9837.5,0.800585202
01/10/2007,pce,9853.9,0.801992432
01/11/2007,pce,9928.6,0.808402193
01/12/2007,pce,9947.6,0.810032521
01/01/2008,pce,9963.2,0.811371105
01/02/2008,pce,9955.7,0.810727555
01/03/2008,pce,10004.2,0.814889181
01/04/2008,pce,10044.6,0.818355772
01/05/2008,pce,10093.3,0.822534559
01/06/2008,pce,10149.4,0.827348315
01/07/2008,pce,10151.1,0.827494187
01/08/2008,pce,10140.3,0.826567474
01/09/2008,pce,10083.2,0.821667911
01/10/2008,pce,9983.3,0.81309582
01/11/2008,pce,9851.2,0.801760754
01/12/2008,pce,9744.2,0.792579436
01/01/2009,pce,9792.1,0.796689577
01/02/2009,pce,9775.7,0.795282347
01/03/2009,pce,9742.9,0.792467887
01/04/2009,pce,9741.9,0.79238208
01/05/2009,pce,9759.7,0.79390944
01/06/2009,pce,9807.6,0.798019581
01/07/2009,pce,9835.2,0.800387846
01/08/2009,pce,9961.9,0.811259557
01/09/2009,pce,9875.4,0.803837276
01/10/2009,pce,9924.6,0.808058966
01/11/2009,pce,9946.1,0.809903811
01/12/2009,pce,10000.6,0.814580276
01/01/2010,pce,10003.4,0.814820535
01/02/2010,pce,10034.7,0.817506285
01/03/2010,pce,10095.5,0.822723333
01/04/2010,pce,10106.9,0.82370153
01/05/2010,pce,10140.2,0.826558893
01/06/2010,pce,10165.9,0.828764126
01/07/2010,pce,10184.3,0.830342969
01/08/2010,pce,10247.1,0.835731631
01/09/2010,pce,10268.9,0.837602217
01/10/2010,pce,10343.7,0.844020559
01/11/2010,pce,10399.8,0.848834316
01/12/2010,pce,10436.1,0.851949099
01/01/2011,pce,10474.7,0.855261239
01/02/2011,pce,10512.4,0.858496152
01/03/2011,pce,10583.5,0.864597009
01/04/2011,pce,10624.6,0.868123665
01/05/2011,pce,10653.1,0.870569156
01/06/2011,pce,10676.4,0.872568452
01/07/2011,pce,10727.1,0.876918853
01/08/2011,pce,10745.6,0.878506277
01/09/2011,pce,10790.6,0.882367579
01/10/2011,pce,10827.6,0.885542427
01/11/2011,pce,10828.7,0.885636815
01/12/2011,pce,10827.3,0.885516685
01/01/2012,pce,10905.5,0.89222677
01/02/2012,pce,10979.2,0.898550725
01/03/2012,pce,10994.3,0.899846406
01/04/2012,pce,11030.2,0.902926867
01/05/2012,pce,11029,0.902823899
01/06/2012,pce,11032.5,0.903124222
01/07/2012,pce,11074.8,0.906753846
01/08/2012,pce,11104.8,0.909328048
01/09/2012,pce,11179.6,0.91574639
01/10/2012,pce,11199.9,0.917488266
01/11/2012,pce,11222.8,0.91945324
01/12/2012,pce,11245.2,0.92137531
01/01/2013,pce,11303.2,0.926352099
01/02/2013,pce,11371.4,0.932204117
01/03/2013,pce,11378.8,0.932839087
01/04/2013,pce,11373.3,0.93236715
01/05/2013,pce,11407.1,0.935267417
01/06/2013,pce,11462.4,0.940012528
01/07/2013,pce,11484.7,0.941926017
01/08/2013,pce,11511.6,0.944234218
01/09/2013,pce,11559.6,0.94835294
01/10/2013,pce,11602.1,0.951999725
01/11/2013,pce,11671.5,0.957954711
01/12/2013,pce,11686.3,0.959224651
01/01/2014,pce,11663.9,0.95730258
01/02/2014,pce,11714.4,0.961635819
01/03/2014,pce,11807.1,0.969590101
01/04/2014,pce,11825.2,0.971143203
01/05/2014,pce,11864.3,0.974498245
01/06/2014,pce,11922.6,0.979500777
01/07/2014,pce,11944.4,0.981371363
01/08/2014,pce,12017,0.98760093
01/09/2014,pce,12044.6,0.989969195
01/10/2014,pce,12096.4,0.994413983
01/11/2014,pce,12142.2,0.99834393
01/12/2014,pce,12122,0.996610635
01/01/2015,pce,12080.8,0.993075398
01/02/2015,pce,12095.9,0.99437108
01/03/2015,pce,12161.5,1
01/04/2015,pce,12158.9,0.999776903
01/07/1967,pop,198712,0
01/08/1967,pop,198911,0.001628811
01/09/1967,pop,199113,0.003282177
01/10/1967,pop,199311,0.004902803
01/11/1967,pop,199498,0.006433395
01/12/1967,pop,199657,0.007734807
01/01/1968,pop,199808,0.008970739
01/02/1968,pop,199920,0.009887457
01/03/1968,pop,200056,0.011000614
01/04/1968,pop,200208,0.012244731
01/05/1968,pop,200361,0.013497033
01/06/1968,pop,200536,0.014929405
01/07/1968,pop,200706,0.016320851
01/08/1968,pop,200898,0.017892368
01/09/1968,pop,201095,0.019504809
01/10/1968,pop,201290,0.02110088
01/11/1968,pop,201466,0.022541436
01/12/1968,pop,201621,0.023810108
01/01/1969,pop,201760,0.024947821
01/02/1969,pop,201881,0.025938203
01/03/1969,pop,202023,0.027100471
01/04/1969,pop,202161,0.028229998
01/05/1969,pop,202331,0.029621445
01/06/1969,pop,202507,0.031062001
01/07/1969,pop,202677,0.032453448
01/08/1969,pop,202877,0.034090444
01/09/1969,pop,203090,0.035833845
01/10/1969,pop,203302,0.037569061
01/11/1969,pop,203500,0.039189687
01/12/1969,pop,203675,0.040622059
01/01/1970,pop,203849,0.042046245
01/02/1970,pop,204008,0.043347657
01/03/1970,pop,204156,0.044559034
01/04/1970,pop,204401,0.046564354
01/05/1970,pop,204607,0.04825046
01/06/1970,pop,204830,0.050075711
01/07/1970,pop,205052,0.051892777
01/08/1970,pop,205295,0.053881727
01/09/1970,pop,205540,0.055887047
01/10/1970,pop,205788,0.057916922
01/11/1970,pop,206024,0.059848578
01/12/1970,pop,206238,0.061600164
01/01/1971,pop,206466,0.063466339
01/02/1971,pop,206668,0.065119705
01/03/1971,pop,206855,0.066650297
01/04/1971,pop,207065,0.068369143
01/05/1971,pop,207260,0.069965214
01/06/1971,pop,207462,0.07161858
01/07/1971,pop,207661,0.073247391
01/08/1971,pop,207881,0.075048087
01/09/1971,pop,208114,0.076955187
01/10/1971,pop,208345,0.078845918
01/11/1971,pop,208555,0.080564764
01/12/1971,pop,208740,0.082078985
01/01/1972,pop,208917,0.083527727
01/02/1972,pop,209061,0.084706364
01/03/1972,pop,209212,0.085942296
01/04/1972,pop,209386,0.087366483
01/05/1972,pop,209545,0.088667894
01/06/1972,pop,209725,0.090141191
01/07/1972,pop,209896,0.091540823
01/08/1972,pop,210075,0.093005934
01/09/1972,pop,210278,0.094667485
01/10/1972,pop,210479,0.096312666
01/11/1972,pop,210656,0.097761408
01/12/1972,pop,210821,0.09911193
01/01/1973,pop,210985,0.100454266
01/02/1973,pop,211120,0.101559239
01/03/1973,pop,211254,0.102656026
01/04/1973,pop,211420,0.104014733
01/05/1973,pop,211577,0.105299775
01/06/1973,pop,211746,0.106683037
01/07/1973,pop,211909,0.108017188
01/08/1973,pop,212092,0.10951504
01/09/1973,pop,212289,0.111127481
01/10/1973,pop,212475,0.112649887
01/11/1973,pop,212634,0.113951299
01/12/1973,pop,212785,0.115187231
01/01/1974,pop,212932,0.116390424
01/02/1974,pop,213074,0.117552691
01/03/1974,pop,213211,0.118674033
01/04/1974,pop,213361,0.11990178
01/05/1974,pop,213513,0.121145897
01/06/1974,pop,213686,0.122561899
01/07/1974,pop,213854,0.123936976
01/08/1974,pop,214042,0.125475752
01/09/1974,pop,214246,0.127145488
01/10/1974,pop,214451,0.128823409
01/11/1974,pop,214625,0.130247596
01/12/1974,pop,214782,0.131532638
01/01/1975,pop,214931,0.1327522
01/02/1975,pop,215065,0.133848987
01/03/1975,pop,215198,0.13493759
01/04/1975,pop,215353,0.136206262
01/05/1975,pop,215523,0.137597708
01/06/1975,pop,215768,0.139603028
01/07/1975,pop,215973,0.141280949
01/08/1975,pop,216195,0.143098015
01/09/1975,pop,216393,0.144718641
01/10/1975,pop,216587,0.146306528
01/11/1975,pop,216771,0.147812564
01/12/1975,pop,216931,0.149122161
01/01/1976,pop,217095,0.150464498
01/02/1976,pop,217249,0.151724985
01/03/1976,pop,217381,0.152805402
01/04/1976,pop,217528,0.154008594
01/05/1976,pop,217685,0.155293636
01/06/1976,pop,217861,0.156734193
01/07/1976,pop,218035,0.158158379
01/08/1976,pop,218233,0.159779006
01/09/1976,pop,218440,0.161473297
